order_number,sale_date,sale_month,buyer_state,item_title,sold_for,shipping_and_handling,gross_revenue
27-14387-37395,2026-03-24,2026-03,AZ,Vintage Small Stone Metate w/ Mano Basalt Grinding Bowl Southwest Decor,59.99,7.41,67.4
07-14411-06700,2026-03-23,2026-03,CA,Craftsman USA 1/4” Drive Socket Set 21 Pc G Series SAE Metric w/ Case,36.99,6.29,43.28
11-14403-75327,2026-03-23,2026-03,TX,Vintage Craftsman 391.5195 Woodworking Bench Vise Swivel Base USA Heavy,89.99,22.68,112.66999999999999
11-14403-75328,2026-03-23,2026-03,TX,Proto Blade Step Cut Feeler Gauge Set 000N,12.99,5.52,18.509999999999998
11-14403-75326,2026-03-23,2026-03,TX,Craftsman 40811 40804 Steel Brass Thickness Feeler Gauge Set,19.99,5.52,25.509999999999998
15-14392-70835,2026-03-22,2026-03,WA,Vintage Estwing 16oz Claw Hammer Leather Handle Rockford IL USA Tool,16.0,7.57,23.57
11-14393-43684,2026-03-21,2026-03,TX,Vintage Craftsman Screwdriver Lot USA Flathead Phillips Acetate Handle Set,51.0,8.65,59.65
14-14387-41906,2026-03-20,2026-03,FL,Vintage Farrier Tools Lot Hoof Nippers Bellota Spain Rasp + Hoof Rasp,29.99,8.83,38.82
20-14378-26557,2026-03-20,2026-03,MO,Gerber 450 E-Z Out USA Folding Knife Partially Serrated Lockback Black,19.98,5.52,25.5
12-14389-52732,2026-03-20,2026-03,TN,Vintage Millers Falls No.120 12” Combination Square Chrome USA,20.0,8.72,28.72
06-14396-81030,2026-03-20,2026-03,AL,Vintage Craftsman V Series 3/8” Flex Socket Set USA 8pc 3/8-13/16 w/ Case,55.0,7.22,62.22
08-14389-30520,2026-03-19,2026-03,IL,Radio Flyer 0890 Steel Wagon Body Red Replacement Tub Vintage,40.0,24.58,64.58
17-14365-97110,2026-03-16,2026-03,CA,Vintage Coleman 425B Two Burner Camp Stove Wichita KS Brass Tank Untested,59.99,7.41,67.4
06-14375-24766,2026-03-15,2026-03,MN,Vintage Challenger Pipe Wrench 14” USA Drop Forged Steel Heavy Duty,12.0,8.1,20.1
24-14363-11992,2026-03-15,2026-03,AZ,IRWIN 12” Combination Square Set w/ Center Head & Rule Blue Aluminum,28.0,6.08,34.08
04-14376-95128,2026-03-15,2026-03,IL,Vintage Imperial USA 3 Blade Stockman Pocket Knife Jigged Handle,18.99,5.62,24.61
15-14360-58387,2026-03-15,2026-03,IN,Craftsman Rally Torx 41473m Screwdriver Vintage Black  Clear Handle Flag,10.0,8.72,18.72
